customer_id,articles
d6ec8624febaf720ff48577d5a89af43deb36540a183a2b02b0c19058e583984,[789119002 789119002]
d70802e1a04742ddf641442d04161e0a5d7fd0b2774a591887f1f6d33eeca598,[575238006]
d70b8ef650e42eed7b096de9bd16116b74ea3dfc02699f43aa5111d013455846,"[793378003 825581001 799365003 857812006 812207002 699923106 875287001
 843872002 843872002 877274001 852584002 856848001 809238005 855055001]"
d70e152375f5972227e5019483c766f7f7b514dd38b507d6aef093a4c3b07733,[661794001 824497002 824497002 784644002 787946002]
d73cf1485bff413e0c5e9b4c2e7d428ceabc626949c4a618f56cf61eaaaf1f42,[685814034]
d76409ad341c1d88f55f4f122e64bcd5d855c0ce34c4f32a93da72275304d3b3,[399256002 399256001 775365001 762310003]
d793f49b415bfd78e135196f5c2a3152c78178c5d9f18e4dc8c548029545ff04,[820360001 794793003 820360001 820360001]
d7ee7c7de0fb833dcfb9b615c92765f86ce996200f79bba4394e34a7824ea81c,"[305931001 738943010 800807002 736531009 812027002 840566001 736530007
 785827001 634249005 611415005 846347005 305931001 852103002 855706001
 372860068]"
d857a9895781d14400dd68fc69fc891c6efa5fe7c8a697e9f44ee2cc48d329c9,[795358001 833343001]
d8590b7f7a4c2217f48bf6432b5bba9dfa4631e2e1681fc7a136f0c08c9e3b44,"[781660001 824752001 751557002 799365013 824499001 799365002 799365013
 861847004 809883003 767655005 827635001 807239005 869198002 869198002
 869198003 869198003 856848001 903868001]"
d864eb1f1a94bfcd34aed4606c47e2a749c1e686a5b987e7d61d0c994b87c575,[685814003]
d87423c96bfb974fb862a06072314f0a41bd93d9eec21e9ee01e65a1c4a271a4,[692840001 771730002 766851001]
d8f683fe9fc2362417f0df5112e78886fce520139c8ad75479b475d8dc52e9a0,[763943011 678086002 817166007 817166007 803757012 873158012 923134005]
d923c5ed2d7de6de286913ef4b4d0b52063e347c680641fb961bac8accc46621,[748355002]
d93c518b2ce080eb18e483bfb19df4b822921c81ee0089d55eee27094f21b474,[785710001 785710003 818024001 816832002]
d9788f57641061d4c1ef0f81d973d5e313236ec1fee2fbc20f23e5f6110fc434,"[848869001 737224002 737224002 772662001 790383007 866383002 599580067
 866383008 919248002 913030001 913030001 739590018 866383004 799421001
 866383006]"
d97ea2523e07e3b264577f318dfb48513be4754190754e1274509b19331ebace,[534181009 534181009]
d99d82b6bfe1f75c6a9929bc0f5f88622833c0da4444a58555ddec4befd42e2d,"[809278006 610776002 824148001 798572001 737040003 565379027 769814012
 700758001]"
da1b0134ff0366f37ec33535cf52c716c04f47c7fc1c65372f1ae689cb011c4c,"[721268001 805772003 783384008 800590003 795440001 872278001 879944002
 925978002]"
da1d353f320fb0d2d73101a68a8cfd9c230208ca99a19d25f6d29537eddc7c7c,[824821003 824821003]
da473753c8637c944934ebeac0220983973b2a9559a5f015c3e2b6ce7d003dd5,"[156224001 757904004 790383007 719544003 749109003 772046001 770321001
 682254004 682254004 785058002 762073007 778270003 485673002 785058001
 160442010 160442010 785034001 749109001 699841005 699841005 820688003
 777155001 683001005 790383003 156224002 814224003 887659003 665481013
 828050002 873915002 873915001 663477003 764998001 824778004 774543006
 819520005 835602001 879781003 772773001 554477035 679854001 767032002
 732017011 895346001 572797044 572797041 572797001 679854009 772773004
 631744013 873915004]"
da87034a7d0a875cea24ea9bf6586a72e9acfb234a02c7a0ca2259dea8f3fc9c,[781660001]
da928a16f31a7c003be5c0b87f722e6d5e639487e5a51219272a02e4defc4178,"[836485001 874952006 874952002 858052005 813242001 716671001 918443002
 912579002 909370001]"
dad74ca1f34353bcbfc995f2178312fb492a43c1e219ec98c794aab66658c6b6,"[743359001 733098022 800225001 800225001 800225001 800225001 658329019
 725358008]"
daf5ed77fda2db45c7cc5f314e5fca36403d0811343f1f874e1bf48d39acf9a1,[661794001 201219003]
dafe6ab076799aa6fe27fc93866959cd3e7cd7ddc3d327496829da0be55c31ff,[759394003]
db1e5021e1a3af5394d174970dd0306d55d44a38b243cd7decf62686e19a2add,[685602001 824497002]
db59bf0d772484374c922dfd2a5cefbb9e03be6b233f84267998a51a11b25135,[754697013]
db696f20ae0cb2a4fd5acaf784fa2343566ed4d9f5cc3eefeeaeed7cf235bd66,[756687001 763280002 735607003 854262002 854261002 903868003 903868003]
db8f1e1e554af87e725d74be055563745e98d9827d2e6c54319b440491bbccfd,[721266006 656048001 867023001]
db9c6a8af913f9766319e2c88c5a0dbe325f568cbf65db4f0c9c6ef6b15cdd08,[534181012 534181012]
dbd2a54be55a75992f4e2a2e20bdb2d7606d1906ad3bc5b11220be2bf14e0bb4,"[215589001 215589001 814299001 857755003 782859004 867208003 810800001
 776697004 590071011 590071011 810800002 510465002 804476001 820032003
 756782001 697119005]"
dbe22188ba692dda9d0525a55cc863f0002292f17b6fe24232b4d00445cea9eb,[756099005]
dbf501fb5a9560c52cee3137a174ea836fb8795703f8f22ac347fa24d3ede9e2,[780322002 825045001 794222001]
dc33c72a4c5f013484ebf315174f0ab7ce2572516786b3efe09337cc9b8ad5f8,[789808003 554450004 805439001]
dc65ad4cb41424fd45f3463836a52da6abfc8e3e2642eb7fe5bea01cbae8fafa,[501722031 836705001 831395001 501722029 564358052]
dc6710f4b361d9881c2a80898b8f85c3c11ad20567f051aaa98f2734b249f89e,[754792001 300024048 300024048 300024058 300024058]
dc67d67bc1a15d50dd6982a8c20ee61a4c0b9e44caeffaa79095d3dc01c1b604,"[755440002 830016002 693242002 739348004 855076001 818024003 826492006
 826492002 741259002 742034001 832361003 832361001 496923005 688105007
 866755002 821115002 836699003 832453005 562245088 599580038 776237011
 832453003 562245103 562245088 832453002 562245098 832453003 562245103
 910132002 562245088 562245108 802023002 802023001 910132001 736870020
 562245100 736870017]"
dcb65f7f4735a1db27de489a254146eb873aa165c01ff48f153fcd3a325e24e9,"[685814023 881331001 837444003 859808003 882418002 883317001 695632002
 664074001 788261004 851633001]"
dce1292eecc85378ecde8e9ce81f24e72c649d838f655b5e25af3609ae62ce88,[800804002 762856007 777100001 782096003 762856001]
dd2341c785f205848a4d77469e3a5fb2f7cd325617f2f0d31689a686d4aa0c03,[739953003]
dd7b0f04fe1954c8157e35f7d090a047bfdec0d3ff195cf0faae90b163a4715a,[721268001]
dd825a01b160b96936a5e1de48120d002cfb9939cf1942ce110f73d9c9407e5a,[755360001]
dd9e15d7b98308f68f8a109f3afa4157f2429aa7938875797e2806203ce78718,"[682509004 782874004 798763003 670942005 664319001 798763005 682509004
 782874004 571092001 670942005]"
ddacd6c4defff090278b76ff2514d324149d6f5e51e96afe203e1b2951ede259,[759465001]
ddb47fcf4f98c1836a5e6522d3c57f3b3cd833fdb9aa4749b4e55ac5567d493c,[810007001]
ddb9392e15eb17d7e2b66eba7d845da277c2142ff3a2e6b6b574a59ec6947bde,"[719530004 719530004 562245046 562245046 860651001 791587009 811500001
 610776071 740922001 610776068 399061032]"
