customer_id,articles
178a46be23dcd5b6f27ca0ba7874a37fdc686115b43c8f2bd17dfe1818a2f2e9,[559616006 599580024 599580024 559616014 804992014 866731001]
179cd85d74250e6ff1aa5b2eadb319736452b152c62264110de83f59b744b9c0,[859232001]
17aa1b60b4e7467a38398c14a2ea3c1c3ed780fafdc8efb6f3ef821896182afc,[706016039 808028006 863156001 879176002 849493010 706016001 905895001]
17bb0a697026445cca474e9c72b908615c51800487c2f0af5750d2e201ca39e7,[816355003 816355003 449570063 449570063 685604056 685604056]
17dfb513f5c9297a3d3e841656499acc5c0ac304bd98cd59c3b61860fd0defbb,"[844409002 844409002 844409003 823168005 811907009 823168005 811907009
 621381012 448509014 873158008 717490079]"
18945e745ee769beda695408144d4619917aec14e3976d93390e9a021c6686df,[832309010 698276004]
18d0c6c6525cc0586307d6b353709422152ea5c774143fb774e35e89ececafaa,[399223001 574109038 874113005 237347063 639448001]
1919b6da43c35e0f9060f6685d6e5740a1391a91b08b65eb8a7a02d87cd540e4,[857621001 857621003 806778001 720125007 794318001]
194712156043207763f0aef2dcf4a2937342e704978247aefe1c9b6904537e5c,[803468002 372860002]
19a72b658ad00f2c3138bfb3e5286901a204233659ce50dfbb041087bbda0ec7,"[856927003 745186003 841807005 743024003 868161001 793411003 739953003
 859424004 878097001 697060014 719348002 675070015 749084001 767377005
 842921001 535455003 838900002 810818001 784485002 796059001 726177001
 783507001 859424001 880186003 747984002 783497002 872233001 697060013
 774450003 835417001 835852003 730153001 817047001 906293001 874891001
 880387001]"
19b1345b939b2c61b534c4ffb421076a1791c88d562192f62ed410f979eaebb4,"[562245103 865917001 718081009 814403008 887653002 870442001 742172005
 842062003 878293001 851400001 729928001 826150008 812363006 832331008
 578476001 897940001]"
1a868b48d7d79b2dbded888b87ec6d99a5b02c1458047ddb8f67cff936a240b0,[823118002 892653001 823165002 806241002 770352006 883685002]
1a8e3deb32889fdfb8c252f7c0ed7d0ec1a1c4a9439c1160b0038375434f0a44,"[688537021 688537004 684209027 684209004 838099001 819051001 678942001
 636323001]"
1af03b333a18ced4efb2785893670307077e2152a2a4b9d412fd5b4b3300c50e,[706016001 750422018 868161001 750423010 690936006 816953004]
1bcb7088fded2c4561c79575543358a7c982543b2032790159774667d02d7bd4,[878013001 850917001 850241006 850241004]
1c00af79ab7b7cd6a4819902e898ce5748032e8751a2f1e39db191f45f691fb1,[901359001 478646002 856310003]
1c0f83d27a3a2d7d00876b79aecc1172d0ab66d07e2f5f4dedd392639660794a,"[833499006 832330002 688537004 852536002 408875030 762188001 806131003
 882165001 882165001 237347045]"
1cc472c59073e67e7aef086d6a5796f7bef85b27f28c22fd3c330bcf68e5d479,[600886011]
1d9ed25fceb22a931cec5554b1f77bf649ff2aef55c6f8ccbede32f423206ea9,[836367001 836367001 849493010 849493010 836367001 849493010 524529010]
1da3a0c1f8f049b2d460cec05aaff1b9d7ef48d1f5f2fe695909bf86fd3c044e,[599580052 727004001 759871013]
1dfd8dcff2964176a20349e9f01142234fa3b83f0ecbeedf6ae3a383992b4eab,[815310001]
1e0796ed960f32e26238f2876c574be49aa1398eba318a6b7b73eb7532db6024,[853839001 816841004 866651001 641187003]
1e14722e5560ca49ec39bdfe6557d38a73f19fdc28dcaf21fb45794cb9283044,[757347002 757347008]
1e18a839905459c9c96d4457f2ed3eba9d674b8950aa776d9a0d3dd9a82b7345,[796210012 766346003]
1e4e7bb03a5cd71e6e18d1ab7b31d8b555976cd4d7dae4d3ebb66d0c08fabf52,[903309002 610776002 564310038]
1eb59c926f897f3c03c5f606c2a0681778be9a73a44c6b2a8b55c4f97a7a9ca3,"[800691007 855793002 864668002 565379002 841383003 684824006 832309007
 859942001 689047004 759326008]"
1f2b9bd1bfaaaa02af8033644776db256b5a8ce1a85fa2bf166bbc5e8edcc7db,[872600001 776237021 599580047 846327008 879248001 908729001]
